,gain
sales_ly,486877.7330469384
asof_mean_28d,220378.5852848962
asof_mean_91d,197436.0701620312
Promo,173069.13752828664
Store,99332.0575081141
DayOfWeek,49379.70068924315
weekofyear,35765.86384132815
day,32348.307839448255
month,16273.446951843798
asof_mean_7d,6281.4031068204595
SchoolHoliday,4165.142197383568
asof_std_28d,3303.3144075969853
asof_cv_28,3168.698501824712
StoreType,1547.043046566968
asof_ratio_28_91,1256.1286984421313
CompetitionDistance,1106.8293851564329
h,656.0316472159078
StateHoliday,582.6573325550804
Assortment,514.7966226929178
asof_ratio_7_28,302.7798528230439
Promo2,241.96387845029435
days_since_snap,205.35104770585895
h_week,40.55655266779164
